Step nSia nVac sinked annihilated
79000000000 0 117 4 45
79100000000 0 117 7 60
79200000000 0 117 2 57
79300000000 0 117 2 38
79400000000 0 117 0 53
79500000000 0 117 3 42
79600000000 0 117 2 55
79700000000 0 117 3 48
79800000000 0 117 1 44
79900000000 0 117 2 43
80000000000 0 117 1 52
80100000000 0 117 0 66
80200000000 0 117 2 44
80300000000 0 117 2 48
80400000000 0 117 1 47
80500000000 0 117 4 44
80600000000 0 117 2 47
80700000000 0 117 1 53
80800000000 0 117 2 43
80900000000 0 117 3 54
81000000000 0 117 1 44
81100000000 0 117 2 48
81200000000 0 117 3 48
81300000000 0 117 3 44
81400000000 0 117 0 43
81500000000 0 117 3 55
81600000000 0 117 4 54
81700000000 0 117 2 46
81800000000 0 117 2 44
81900000000 0 117 3 46
82000000000 0 117 3 46
82100000000 0 117 1 57
82200000000 0 117 3 36
82300000000 0 117 6 57
82400000000 0 117 2 45
82500000000 0 117 2 44
82600000000 0 117 1 51
82700000000 0 117 4 53
82800000000 0 117 2 47
82900000000 0 117 0 57
83000000000 0 117 1 45
83100000000 0 117 3 46
83200000000 0 117 2 49
83300000000 0 117 3 39
83400000000 0 117 0 49
83500000000 0 117 3 51
83600000000 0 117 4 41
83700000000 0 117 2 41
83800000000 0 117 4 51
83900000000 0 117 6 41
84000000000 0 117 1 58
84100000000 0 117 0 49
84200000000 0 117 1 52
84300000000 0 117 3 48
84400000000 0 117 4 45
84500000000 0 117 2 52
84600000000 0 117 1 42
84700000000 0 117 1 57
84800000000 0 117 0 49
84900000000 0 117 2 44
85000000000 0 117 2 48
85100000000 0 117 2 48
85200000000 0 117 1 53
85300000000 0 117 2 40
85400000000 0 117 2 56
85500000000 0 117 1 48
85600000000 0 117 3 46
85700000000 0 117 2 49
85800000000 0 117 0 44
85900000000 0 117 5 56
86000000000 0 117 2 46
86100000000 0 117 1 52
86200000000 0 117 2 50
86300000000 0 117 1 51
86400000000 0 117 3 47
86500000000 0 117 0 48
86600000000 0 117 5 48
